i,x,y,department,seniority,role,data_issue,issue_category
EMP_0345,486,25,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0346,499,15,IT,Junior,Infrastructure,CLEAN: No issues,Clean
EMP_0347,233,15,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0348,910,339,IT,Mid,DevOps,EXTREME: Very high commits (possible: bot-assisted or granular style),Extreme Value
EMP_0349,819,9,Analytics,Mid,Analyst,CLEAN: No issues,Clean
EMP_0350,3329,395,Analytics,Senior,Data_Engineer,EXTREME: Very high commits (possible: bot-assisted or granular style),Extreme Value
EMP_0351,1425,5,Analytics,Mid,Analyst,CLEAN: No issues,Clean
EMP_0352,5207,7,Analytics,Senior,Analyst,CLEAN: No issues,Clean
EMP_0353,255,0,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0354,3862,9,IT,Senior,Developer,CLEAN: No issues,Clean
EMP_0355,1871,28,IT,Senior,Infrastructure,CLEAN: No issues,Clean
EMP_0356,1765,81,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0357,1538,45,Analytics,Mid,Data_Scientist,CLEAN: No issues,Clean
EMP_0358,491,4,IT,Junior,DevOps,CLEAN: No issues,Clean
EMP_0359,1270,0,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0360,55,19,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0361,95,15,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0362,1117,-15,Analytics,Mid,Analyst,ERROR: Negative commits (data pipeline bug),Data Error
EMP_0363,3589,6,IT,Senior,Infrastructure,CLEAN: No issues,Clean
EMP_0364,1405,96,Analytics,Mid,Data_Engineer,CLEAN: No issues,Clean
EMP_0365,297,4,IT,Junior,DevOps,CLEAN: No issues,Clean
EMP_0366,454,22,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0367,447,7,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0368,1184,0,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0369,818,4,Analytics,Mid,Analyst,CLEAN: No issues,Clean
EMP_0370,114,15,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0371,1337,0,Analytics,Mid,Analyst,CLEAN: No issues,Clean
EMP_0372,236,5,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0373,2653,4,IT,Senior,Infrastructure,CLEAN: No issues,Clean
EMP_0374,1920,29,IT,Senior,DevOps,CLEAN: No issues,Clean
EMP_0375,1625,48,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0376,1233,54,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0377,2489,11,IT,Senior,Developer,CLEAN: No issues,Clean
EMP_0378,899,9,IT,Mid,Infrastructure,CLEAN: No issues,Clean
EMP_0379,1769,10,Analytics,Mid,Analyst,CLEAN: No issues,Clean
EMP_0380,66,8,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0381,505,4,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0382,103,40,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0383,1131,56,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0384,3544,6,IT,Senior,Infrastructure,CLEAN: No issues,Clean
EMP_0385,674,6,Analytics,Junior,Data_Scientist,CLEAN: No issues,Clean
EMP_0386,983,3,IT,Mid,Infrastructure,CLEAN: No issues,Clean
EMP_0387,1443,92,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0388,162,46,IT,Junior,DevOps,CLEAN: No issues,Clean
EMP_0389,1808,0,IT,Mid,Infrastructure,CLEAN: No issues,Clean
EMP_0390,440,23,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0391,1282,84,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0392,5446,0,IT,Senior,Infrastructure,CLEAN: No issues,Clean
EMP_0393,308,4,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0394,56,248,Analytics,Junior,Data_Engineer,EXTREME: High commits for junior (real: internal transfer from other division),Extreme Value
EMP_0395,253,22,Analytics,Junior,Data_Engineer,CLEAN: No issues,Clean
EMP_0396,2351,15,Analytics,Senior,Data_Scientist,CLEAN: No issues,Clean
EMP_0397,1671,0,Analytics,Mid,Data_Scientist,CLEAN: No issues,Clean
EMP_0398,2039,15,IT,Senior,Developer,CLEAN: No issues,Clean
EMP_0399,3620,29,IT,Senior,Developer,CLEAN: No issues,Clean
EMP_0400,2575,108,IT,Senior,Infrastructure,"EXTREME: High for infrastructure (real: IaC enthusiast, everything in Git)",Extreme Value
EMP_0401,383,7,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0402,325,47,Analytics,Junior,Data_Engineer,CLEAN: No issues,Clean
EMP_0403,1707,0,Analytics,Mid,Data_Scientist,CLEAN: No issues,Clean
EMP_0404,769,47,Analytics,Mid,Data_Scientist,CLEAN: No issues,Clean
EMP_0405,610,1,IT,Junior,DevOps,CLEAN: No issues,Clean
EMP_0406,1682,62,Analytics,Mid,Data_Engineer,CLEAN: No issues,Clean
EMP_0407,195,5,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0408,1281,14,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0409,1405,54,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0410,1223,326,IT,Mid,Developer,EXTREME: Very high commits (possible: bot-assisted or granular style),Extreme Value
EMP_0411,1592,117,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0412,1190,350,IT,Mid,Developer,EXTREME: Very high commits (possible: bot-assisted or granular style),Extreme Value
EMP_0413,1210,44,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0414,5221,0,IT,Senior,Infrastructure,"EXTREME: Zero commits, long tenure (real: moved to management)",Extreme Value
EMP_0415,143,9,IT,Junior,DevOps,CLEAN: No issues,Clean
EMP_0416,369,11,IT,Junior,DevOps,CLEAN: No issues,Clean
EMP_0417,163,7,Analytics,Junior,Data_Scientist,CLEAN: No issues,Clean
EMP_0418,109,230,IT,Junior,Infrastructure,EXTREME: High commits for junior (real: internal transfer from other division),Extreme Value
EMP_0419,101,27,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0420,754,7,IT,Mid,Infrastructure,CLEAN: No issues,Clean
EMP_0421,1632,30,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0422,4588,19,IT,Senior,Developer,CLEAN: No issues,Clean
EMP_0423,433,15,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0424,943,17,Analytics,Mid,Data_Engineer,CLEAN: No issues,Clean
EMP_0425,352,159,IT,Junior,Developer,EXTREME: High commits for junior (real: internal transfer from other division),Extreme Value
EMP_0426,1302,34,Analytics,Mid,Data_Scientist,CLEAN: No issues,Clean
EMP_0427,4514,0,IT,Senior,DevOps,"EXTREME: Zero commits, long tenure (real: moved to management)",Extreme Value
EMP_0428,90,89,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0429,1234,28,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0430,20,398,IT,Junior,DevOps,EXTREME: Very high commits (possible: bot-assisted or granular style),Extreme Value
EMP_0431,28,8,Analytics,Junior,Data_Scientist,CLEAN: No issues,Clean
EMP_0432,310,0,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0433,417,3,Analytics,Junior,Data_Scientist,CLEAN: No issues,Clean
EMP_0434,1388,56,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0435,4498,9,IT,Senior,Infrastructure,CLEAN: No issues,Clean
EMP_0436,3025,442,IT,Senior,Infrastructure,EXTREME: Very high commits (possible: bot-assisted or granular style),Extreme Value
EMP_0437,1022,21,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0438,829,122,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0439,1150,13,Analytics,Mid,Analyst,CLEAN: No issues,Clean
EMP_0440,1484,282,IT,Mid,Developer,EXTREME: Very high commits (possible: bot-assisted or granular style),Extreme Value
EMP_0441,1751,445,IT,Mid,Developer,EXTREME: Very high commits (possible: bot-assisted or granular style),Extreme Value
EMP_0442,4847,2,IT,Senior,Infrastructure,CLEAN: No issues,Clean
EMP_0443,815,36,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0444,991,234,Analytics,Mid,Data_Scientist,EXTREME: Very high commits (possible: bot-assisted or granular style),Extreme Value
EMP_0445,3249,50,IT,Senior,Developer,CLEAN: No issues,Clean
EMP_0446,812,42,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0447,1782,27,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0448,1581,161,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0449,522,15,IT,Junior,DevOps,CLEAN: No issues,Clean
EMP_0450,1254,108,Analytics,Mid,Data_Engineer,CLEAN: No issues,Clean
EMP_0451,175,7,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0452,1709,56,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0453,1717,18,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0454,1713,0,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0455,380,4,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0456,1800,0,IT,Mid,Infrastructure,CLEAN: No issues,Clean
EMP_0457,4362,1,IT,Senior,Infrastructure,CLEAN: No issues,Clean
EMP_0458,553,15,IT,Junior,DevOps,CLEAN: No issues,Clean
EMP_0459,1545,42,Analytics,Mid,Data_Scientist,CLEAN: No issues,Clean
EMP_0460,4523,0,Analytics,Senior,Analyst,"EXTREME: Zero commits, long tenure (real: moved to management)",Extreme Value
EMP_0461,1548,8,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0462,1594,32,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0463,187,6,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0464,3250,2,Analytics,Senior,Analyst,CLEAN: No issues,Clean
EMP_0465,1017,9,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0466,479,5,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0467,2101,19,Analytics,Senior,Analyst,CLEAN: No issues,Clean
EMP_0468,643,16,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0469,1076,111,Analytics,Mid,Data_Scientist,CLEAN: No issues,Clean
EMP_0470,694,9,Analytics,Junior,Data_Scientist,CLEAN: No issues,Clean
EMP_0471,447,5,IT,Junior,DevOps,CLEAN: No issues,Clean
EMP_0472,1200,79,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0473,21,35,Analytics,Junior,Data_Scientist,CLEAN: No issues,Clean
EMP_0474,325,8,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0475,1408,29,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0476,3333,0,IT,Senior,Developer,"EXTREME: Zero commits, long tenure (real: moved to management)",Extreme Value
EMP_0477,436,6,IT,Junior,DevOps,CLEAN: No issues,Clean
EMP_0478,2921,0,IT,Senior,Infrastructure,"EXTREME: Zero commits, long tenure (real: moved to management)",Extreme Value
EMP_0479,1618,37,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0480,7,25,Analytics,Junior,Data_Engineer,CLEAN: No issues,Clean
EMP_0481,1462,6,Analytics,Mid,Data_Scientist,CLEAN: No issues,Clean
EMP_0482,1925,8,IT,Senior,Infrastructure,CLEAN: No issues,Clean
EMP_0483,453,2,IT,Junior,Infrastructure,CLEAN: No issues,Clean
EMP_0484,1794,43,IT,Mid,Infrastructure,CLEAN: No issues,Clean
EMP_0485,1205,21,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0486,43,29,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0487,380,34,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0488,5166,0,Analytics,Senior,Data_Scientist,"EXTREME: Zero commits, long tenure (real: moved to management)",Extreme Value
EMP_0489,1178,12,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0490,1080,14,Analytics,Mid,Analyst,CLEAN: No issues,Clean
EMP_0491,997,33,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0492,1804,10,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0493,1165,9,Analytics,Mid,Analyst,CLEAN: No issues,Clean
EMP_0494,3739,5,Analytics,Senior,Analyst,CLEAN: No issues,Clean
EMP_0495,4073,12,IT,Senior,DevOps,CLEAN: No issues,Clean
EMP_0496,889,41,Analytics,Mid,Data_Scientist,CLEAN: No issues,Clean
EMP_0497,981,30,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0498,461,16,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0499,1821,0,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0500,4919,28,IT,Senior,Developer,CLEAN: No issues,Clean
EMP_0501,1095,0,IT,Mid,Infrastructure,CLEAN: No issues,Clean
EMP_0502,2250,8,Analytics,Senior,Analyst,CLEAN: No issues,Clean
EMP_0503,1541,73,Analytics,Mid,Data_Engineer,CLEAN: No issues,Clean
EMP_0504,798,14,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0505,1443,15,Analytics,Mid,Data_Engineer,CLEAN: No issues,Clean
EMP_0506,1490,28,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0507,1579,18,Analytics,Mid,Analyst,CLEAN: No issues,Clean
EMP_0508,456,18,IT,Junior,DevOps,CLEAN: No issues,Clean
EMP_0509,1607,39,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0510,1516,29,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0511,5442,21,IT,Senior,DevOps,CLEAN: No issues,Clean
EMP_0512,2586,0,IT,Senior,Infrastructure,CLEAN: No issues,Clean
EMP_0513,3451,7,IT,Senior,Developer,CLEAN: No issues,Clean
EMP_0514,117,5,IT,Junior,Infrastructure,CLEAN: No issues,Clean
EMP_0515,339,28,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0516,480,52,Analytics,Junior,Data_Engineer,CLEAN: No issues,Clean
EMP_0517,223,11,Analytics,Junior,Data_Scientist,CLEAN: No issues,Clean
EMP_0518,1708,14,Analytics,Mid,Data_Scientist,CLEAN: No issues,Clean
EMP_0519,1315,27,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0520,4661,8,Analytics,Senior,Analyst,CLEAN: No issues,Clean
EMP_0521,1677,24,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0522,863,19,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0523,521,9,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0524,3208,2,IT,Senior,Infrastructure,CLEAN: No issues,Clean
EMP_0525,1531,18,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0526,1446,15,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0527,78,6,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0528,3096,0,IT,Senior,Infrastructure,"EXTREME: Zero commits, long tenure (real: moved to management)",Extreme Value
EMP_0529,631,12,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0530,1518,97,Analytics,Mid,Data_Engineer,CLEAN: No issues,Clean
EMP_0531,414,14,IT,Junior,DevOps,CLEAN: No issues,Clean
EMP_0532,1123,14,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0533,3520,3,IT,Senior,Infrastructure,CLEAN: No issues,Clean
EMP_0534,1366,37,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0535,887,6,IT,Mid,Infrastructure,CLEAN: No issues,Clean
EMP_0536,2505,23,Analytics,Senior,Data_Engineer,CLEAN: No issues,Clean
EMP_0537,389,405,IT,Junior,DevOps,EXTREME: Very high commits (possible: bot-assisted or granular style),Extreme Value
EMP_0538,2303,22,Analytics,Senior,Data_Scientist,CLEAN: No issues,Clean
EMP_0539,446,7,IT,Junior,Infrastructure,CLEAN: No issues,Clean
EMP_0540,3093,5,Analytics,Senior,Analyst,CLEAN: No issues,Clean
EMP_0541,374,16,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0542,5176,0,IT,Senior,DevOps,"EXTREME: Zero commits, long tenure (real: moved to management)",Extreme Value
EMP_0543,1471,20,Analytics,Mid,Data_Engineer,CLEAN: No issues,Clean
EMP_0544,399,42,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0545,1659,9,Analytics,Mid,Data_Engineer,CLEAN: No issues,Clean
EMP_0546,3138,49,IT,Senior,Developer,CLEAN: No issues,Clean
EMP_0547,277,9,Analytics,Junior,Data_Scientist,CLEAN: No issues,Clean
EMP_0548,1052,11,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0549,265,11,Analytics,Junior,Data_Engineer,CLEAN: No issues,Clean
EMP_0550,875,0,Analytics,Mid,Data_Engineer,CLEAN: No issues,Clean
EMP_0551,4264,12,IT,Senior,DevOps,CLEAN: No issues,Clean
EMP_0552,887,50,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0553,614,7,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0554,1523,0,Analytics,Mid,Data_Scientist,CLEAN: No issues,Clean
EMP_0555,26,20,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0556,606,8500,Analytics,Junior,Data_Engineer,ERROR: Impossibly high (decimal/aggregation error),Data Error
EMP_0557,787,12,Analytics,Mid,Analyst,CLEAN: No issues,Clean
EMP_0558,1432,15,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0559,1217,37,Analytics,Mid,Data_Scientist,CLEAN: No issues,Clean
EMP_0560,1762,25,Analytics,Mid,Data_Engineer,CLEAN: No issues,Clean
EMP_0561,1095,26,Analytics,Mid,Data_Scientist,CLEAN: No issues,Clean
EMP_0562,230,13,IT,Junior,DevOps,CLEAN: No issues,Clean
EMP_0563,1209,30,Analytics,Mid,Data_Engineer,CLEAN: No issues,Clean
EMP_0564,203,6,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0565,1652,121,Analytics,Mid,Data_Engineer,CLEAN: No issues,Clean
EMP_0566,1549,208,IT,Mid,Developer,EXTREME: Very high commits (possible: bot-assisted or granular style),Extreme Value
EMP_0567,329,0,Analytics,Junior,Data_Scientist,CLEAN: No issues,Clean
EMP_0568,1433,36,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0569,1758,107,Analytics,Mid,Data_Engineer,CLEAN: No issues,Clean
EMP_0570,-120,6,IT,Mid,DevOps,ERROR: Negative tenure (date calculation error),Data Error
EMP_0571,1964,28,IT,Senior,Developer,CLEAN: No issues,Clean
EMP_0572,1732,13,IT,Mid,Infrastructure,CLEAN: No issues,Clean
EMP_0573,420,14,Analytics,Junior,Data_Engineer,CLEAN: No issues,Clean
EMP_0574,1851,25,IT,Senior,DevOps,CLEAN: No issues,Clean
EMP_0575,22000,16,IT,Mid,Infrastructure,ERROR: Impossibly long tenure (date entry error),Data Error
EMP_0576,1731,8,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0577,354,4,IT,Junior,Infrastructure,CLEAN: No issues,Clean
EMP_0578,1536,14,Analytics,Mid,Data_Scientist,CLEAN: No issues,Clean
EMP_0579,119,5,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0580,1332,51,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0581,417,13,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0582,927,35,Analytics,Mid,Data_Scientist,CLEAN: No issues,Clean
EMP_0583,676,14,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0584,4366,58,IT,Senior,Developer,CLEAN: No issues,Clean
EMP_0585,1503,9,IT,Mid,DevOps,CLEAN: No issues,Clean
EMP_0586,249,5,IT,Junior,DevOps,CLEAN: No issues,Clean
EMP_0587,837,46,Analytics,Mid,Analyst,CLEAN: No issues,Clean
EMP_0588,3,3,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0589,1670,9,IT,Mid,Infrastructure,CLEAN: No issues,Clean
EMP_0590,3589,373,IT,Senior,DevOps,EXTREME: Very high commits (possible: bot-assisted or granular style),Extreme Value
EMP_0591,528,0,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0592,778,15,Analytics,Mid,Analyst,CLEAN: No issues,Clean
EMP_0593,561,1,IT,Junior,Developer,CLEAN: No issues,Clean
EMP_0594,5398,5,IT,Senior,Infrastructure,CLEAN: No issues,Clean
EMP_0595,97,335,IT,Junior,Developer,EXTREME: Very high commits (possible: bot-assisted or granular style),Extreme Value
EMP_0596,997,39,IT,Mid,Developer,CLEAN: No issues,Clean
EMP_0597,552,4,Analytics,Junior,Analyst,CLEAN: No issues,Clean
EMP_0598,352,12,Analytics,Junior,Data_Scientist,CLEAN: No issues,Clean
EMP_0599,1517,13,Analytics,Mid,Data_Engineer,CLEAN: No issues,Clean
EMP_0600,912,235,IT,Mid,Developer,EXTREME: Very high commits (possible: bot-assisted or granular style),Extreme Value
